id,title,kind,synopsis,summaries,votes
120184,Sphere,movie,location plane crash specialty psychiatry crash helicopter pilot location naval ship astrophysicist biochemist unable ship plane crash spacecraft huge ship coral addition mathematician contact team many team medical examination dive instructor quick return surface team sub crash site habitat nervousness clear history habitat dive team drone ship door team dive seafloor spacecraft door dust elevator bridge text human skeleton ship American flight recorder future entry holographic display ship black hole team huge sphere team everything habitat ship time-travelled black hole alive future ship information black hole contact team chance anyone habitat desire sphere same time message cyclone team surface team video sphere reflection disappearance return surface sphere base unconscious reflection window jellyfish mini-sub jellyfish jellyfish normal mental state coma feeling exuberant calm death argue jealousy center computer binary code decryption fine name name mad noise habitat body body strange egg something large petulant large squid habitat computer head internal pressure external defense system fire fire emergency door fire fire emergency childlike life immense power calm unaware mini-sub way suit sea snake spaceship food trek copy entire pantry full spaceship code j e squid part change plot signal topside sub sea bathroom emotion lab lab habitat main airlock own sanity original crew head mini-sub way sub spaceship habitat mini-sub surface complete decompression story alive surface power power deep outer space power,spaceship worth coral growth ocean::ocean navy object half-a-mile crack team site mind perfect metal mysterious::psychiatrist middle plane crash team-up biochemistry mathematician astrophysical unknown life form spacecraft team helium base ocean military spaceship terrestrial future computer spaceship logic crew anything discovery present day mysterious spacecraft storm surface fleet area team communication life group power mysterious::report possible encounter alien intelligence situation couple possible alien spaceship navy alien::middle surface water huge vessel ocean floor scene group sea discovery logical explanation massive spaceship fall sky-and old,92034
120185,Spice World,movie,movie fame sinister owner newspaper reputation order cash photographer tape film director documentary same time manager over-eager absurd plot feature film busy schedule time due birth own bos cryptic eccentric stress overwork compound huge argument humble struggle top friendship labor nightclub hospital tour band hospital support next morning day birth girl hospital doctor camera doctor photographer disguise photographer hot pursuit head wall empty error owner newspaper bus race time maniac bus foot gas pedal boat other side trapdoor floor bomb movie performance,famous pop group zip luxurious double decker tour bus various::double decker ready madcap musical adventure sexy pop encounter night castle moment truth maternity few first live concert::global phenomenon prestigious concert date everyone world flesh manager sole goal concert shape possible documentary film access busy schedule pitch team movie outlandish idea salacious story world fun way sight important life pregnant friend incompatible pop,30912
120188,Three Kings,movie,film weapon end officer document hidden rectum document map officer as map friend trio discovery guard tent same camp sex journalist television reporter secret map tent document map information black light gold bullion gold area cease-fire able other gold prisoner plan gold group local rebel leader private war loyal firefight village arrival minefield group Iranian border underground bunker room full usable cell phone wife location local unit call short interrogation room intelligence officer d d hypocrisy American involvement region child bomb home roof baby several electric motor oil group band willing fleet luxury bunker rumor bunker father life held dungeon complex helicopter ball shootout couple shot lung flutter valve air few proper medical treatment radio contact base transport bar gold rest escape way Iranian border government border rest gold other exchange film military owner carpet store closing epilogue gold,aftermath gold help::small group adventurous American end huge cache gold desert base map gold journey unexpected heroic challenge::group map gold treasure gold site army gold government certain execution military incident crisis conscience American money certain death army gold order safety border,150915
120201,Starship Troopers,movie,distant future several revolution world militaristic regime humanity tense diplomatic alien race many other side girlfriend friend psychic high school military girlfriend low rest new brutal outstanding leader squad leader former high school transfer unit unit few boot camp happy training high school rival decision career future romance training incident squad squad leader accordance military law videophone transmission asteroid population city result sneak attack war officer large-scale invasion unmitigated disaster due underestimation sheer plasma energy surface huge 'Tanker flame-spewing battle surface giant artillery capable surface-to-space massive damage space much space surface air support retreat several fellow dock name computer one-day battle squad due error casualty list dead truth care medical squad wound leg use military postulate caste few relief fellow squad member re-assigned special unit old high-school teacher veteran several retirement group new campaign other system aerial napalm squad ground assault leadership skill combat tanker field promotion night unit rest relaxation few garrison dead alive existence kind leader bug responsible massacre warrior tanker support squad command evacuation ship warrior bug funeral starship high-ranking colonel military intelligence bait theory theory existence behaviour bug promotion command surface planet space planetary tanker attack warship pilot plasma fire ship manage escape pod deep several underground situation rest squad system search telepathic able guidance mind brain brain bug leader bug knife bug small nuclear warhead surface brain bug former order part combat everyone surface able think war propaganda service military leader own ship war,fascist militaristic future wage war giant alien satire modern world::distant future high school military full scale war planet alien safety humanity::time future military graduation high school war bug military dangerous place way several help war human race::future earth rico young student girl military order class citizen citizenship country wrong asteroid orbit planet town family fellow planet type large space ordinary action flick director subtle anti-war theme fascist military world kind world::militaristic organization school importance surface relaxed beautiful successful high school football career loyal rich background war intelligent insectoid population many school pilot own space ship day line duty tragedy home city end insectoid aggressor jealousy new boyfriend resilient,247668
120207,Steel,movie,designer high-tech laser protective armor military laser power device weapon building team partner large slab concrete chaos court role incident military paraplegic plot criminal video arcade manager bank robbery gang anything hideout veteran hospital own laboratory help suit weaponry necessary war crime vigilante crusade crime lair next night bank grandmother house criminal organization world jail process auction lair laser due suit,military project disgust street know-how real man steel::designer military project disgust criminal street equipment junkyard man alter super-hero evil street gang order available suit armor necessary war crime,9847
120211,Still Breathing,movie,movie interested collage right track life perfect man woman second true love many happiness truck acosta man sure mace purse good gun gun car man typical hit-and-run incident man cold sure conscience trouble wallet money gun gutter way idiot gun round bartender anonymous phone call hit-and-run name hair face goal word hot trail dream trip layover trumpet river state different something name full streetcar mole coat house chinese good operator group dream girl forth girl con abstract story girl con artist partner crime rich odd little girl ivy little boy river boy place dream peaceful foreign con order video weather interested painting investment anything search bedroom oxygen tank pan several guy little boy little girl dream knee little boy bottom shirt blood knee something next mark hand information family money gas oil man old peculiar next afternoon airport flight woman entertainment book famous bar fate same place place bartender woman course different nothing head man woman man accent briefly talk mark phone bar easy mark dream bar apartment artist hand different rock scene large dog car knee bottom shirt blood close dream con dream stuff logical mind possible someone something con-game self double effort rich man comfort usual game man sure upper hand thing directive different mind con different different lot money flee life impossible fact eccentric rich man move next move little girl eccentric odd house fact party star family true man collage woman cut different good visualization party everyone stare amusement uneasy whole thing house family party eccentric rich man kind man good life good family good life next mark unkindness matter dollar value man last scene beautiful story different enjoy,artist street con-artist woman vision idea victim::con-artist puppeteer same dream other woman afraid kooky wise disparate fate interesting,2156
120241,Suicide Kings,movie,movie private table restaurant young table initial reluctance willing 'night town scene forth seat chloroform fourth friend doctor uniform vital mob figure sister ransom release kind money cooperation serious pinkie finger complete signet bowl ice same sister incentive small window time available hospital finger clock rage dead reason apparent middle film due drinking major deficiency major component body blood normal healthy person minimal bleeding pinkie medical training other hand death proper medical treatment lawyer own investigation information hostess friend course backstory signet advantage fifth friend father house anything other information mess much information responsible sister previous summer wild weekend various head basketball game way debt sister ransom payment debt way house same time money next day same time sister hospital figure plan ransom rest track boat tropical island screen tint orange rotoscope focus rest money com,group figure::bos group attempt ransom separate kidnapping group anything::sister ransom money plan ex-mob problem wiley mob rich anyone other henchman everyone town real question::silver ivy league former mobster friend sister mobster group other mobster right hand man search bos,24282
120247,Surface to Air,movie,same aircraft carrier carrier personal military officer coup problem regular trouble other rescue,other travel terrorist situation brother other death squad,253
120296,Tod im All,episode,van dead legendary bestseller ufologist mysterious anonymous caller whole thing superb stunt excursion outer space teatime detective chief superintendent angry cold violent crime disappearance second murder doubt radio reporter causa dead apartment action thing battle extraterrestrian life super success wealth crime personal ufologist way possible offender own van dead alive high time encounter third kind,famous ufologist police play mysterious phone caller,87
120317,That Darn Cat,movie,Sixteen-year-old girl life dull cat vital clue mysterious kidnapping excitement life day wealthy wife wrong woman innocent maid maid message outside world watch feisty feline collar hapless agent day teenager cat major crime hilarious investigation zany case star,maid message cat collar owner amateur detective help::small town bumbling maid wife prominent businessman short alley cat snack kidnap victim victim plea help wristwatch cat neck watch maid amateur detective aid agent case captive,3670
120318,That Old Feeling,movie,matter,bride old other reception course few newlywed honeymoon::couple daughter reception bicker banter passion night next day mother::Strait-laced graduate student son conservative political own young couple ceremony reception country home serious famous flamboyant actress successful writer novelist creative other decade marriage volatile divorce mercenary redhead affair sensitive marriage counselor marriage wedding drama respective turmoil mother persistent paparazzo scandal stringer journalist photography career anyone sense honeymoon::other first time match reception thing spark love car parking lot much,3252
120321,Smoke Signals,movie,humorous serious story young man movie glimpse contemporary Native American world Native American story glimpse baby fire learn tension naive positive nerd over-sized journey forgiveness father proud Native American stoicism pleasure confrontation father boy father mother able trip help condition difficult pride young different tension proximity world father sentimental funny film look Indian culture course,man reservation everyone no-one fire family tough son father trip road,8995
120324,A Simple Plan,movie,ordinary guy small town feed wife life good day simple friend town drunk father way home fox front truck pursue clear crashed plane dead body bag several cash police money reluctant afraid get trouble condition money town money truck point sheriff plane distance furious plane sheriff order suspicion event plane home wife secret home money paltry money plane next day travel plane money old man snowmobile head body order brother murder body snowmobile bridge crime old family farm money old farm idea plan farm reason family farm father money college education research money money drug deal nervous loose share money storage locker town murder sheriff hand money birth baby idea goad murder confession tape reluctant family farm dinner father father accident family insurance money family history extreme money next night money resentful quiet angry plan house talk living room angry amusement roleplay confession tape recorder false confession town drunk loser everyone shotgun tape truck rifle wife shot head ready head shotgun floor kitchen pistol couple domestic dispute shot house night sheriff drunk house violent office agent plane plane search home new development certain money money life miserable sheriff office search show office agent plane time gun gun cabinet variety phone sheriff whistle plane shot whistle converge plane few plane money plane plane chamber plane small sum pistol dead lie police entire real truth trigger sheriff office money plane money useless fireplace voiceover life nothing murderous,collar cash plan mistrust way plan::diverse part plane bag full simple plan money no-one nothing simple::mild-mannered hardware store manager other unemployed slob friend stumble cash money new-found booty store manager wife great money secret local other trust deceit::plane nature preserve plan money safe plane dust brother friend way financial debt share farm trusty unequal agent town plane deep water,57230
120338,Titanic,movie,treasure hunter team research vessel necklace rare diamond safe young woman necklace day iceberg person ship first-class passenger fianc mother board marriage financial engagement suicide stern penniless artist edge indifferent recognition small amount money life little first class night tentative friendship wary dinner party third class disapproval bow sunset state room engagement present request nude bodyguard sex automobile cargo deck collision iceberg designer seriousness sketch note safe necklace attempt collision butler necklace pocket theft office pipe own coat pocket ship desperate mother lifeboat boat deck board lifeboat arrangement boat board butler pistol first class saloon ammunition coat necklace collapsible lifeboat child several boat deck stern water ship half stern air ocean wooden panel buoyant person old woman warm hypothermia route name everything search story stern possession sea wreck site asleep bed depict life freedom adventure young ship,seventeen-year-old aristocrat love kind poor artist luxurious ill-fated::year-old woman story granddaughter life th ship young ship upper-class mother fianc drifter artist third-class ship game whole story departure death last voyage morning::trip card game society girl way rich snob fianc situation way deck suicide first-class table snobbish return third-class evening time life future living nude invaluable blue diamond ship iceberg ship freezing water::story experience oceanic emotional connection passenger American artist trip home lucky hand poker luck iceberg northern Mid-Atlantic unsinkable ship ice sea water story suppose mother pick fine beauty family fortune room help someone new level french diamond fun romantic love affair jealous way large iceberg ship ocean death freezing water rescue ship discovery story powerful story survival heroism story world::bottom sea surface wreckage ship unmistakable figure man mechanical achievement former glory century modern treasure hunter hidden well-equipped technical crew success few crusade incredible utterly tragic story deep-blue diamond unlikely romance young bohemian vagabond lesson humility royalty::Deep-sea explorer famous shipwreck safe diamond safe diamond beautiful woman TV woman woman explorer ship wreck story ill-fated voyage would-be steel magnate first-class mother friend lucky poker game steerage suicide stern third-class ship bond first-class day desperate strategy window iceberg due design flaw 'unsinkable alive young status steerage passenger,930687
120347,Tomorrow Never Dies,movie,border region large bazaar international observation room assistant British admiral operation area many several missile area half world dangerous missile British frigate target command center radio call agent scene camera plane powerful soviet nuclear missile attempt missile attack agent area plane area plane pilot unconscious valley missile plane identical nd plane pilot heavy cord neck control plane second rear ejection seat own plane man other plane command center admiral British missile patrol Chinese course Chinese territorial satellite position odd-looking boat stealth technology sea water hull British ship ship much damage ship boat officer British mogul st part operation complete go-ahead nd part many escape stealth ship machine special ammunition own command center international newspaper proper outrage duty romantic tryst involvement incident critical incident newspaper mysterious signal lead-in past relationship wife big unveiling new center airport cellular phone car phone gala party new woman new news agency gala party few sound proof room broadcast hotel room way next day company office specialist techno-terrorist safe decoder device same device course decoder factory able factory car garage hotel way call wife involvement surveillance footage theft decoder assassin hotel room security system room dead bed videotape unidentified man dead self-inflicted gunshot wound hostage gunpoint murder-suicide security system impossible decoder car cell phone code punch car phone powerful electric shock doctor gun man image death parking garage car phone window car several car Bond car top level garage edge street office car British military contact group decoder location ship ship off-course parachute scuba jump wreck site chute short distance water radar detection military site Chinese jump dangerous wreck discover ship sea fishing boat case motorcycle helicopter cable able tail rotor chopper handcuff pipe several stealth boat re-arm search several large stealth craft lucky last cove board boat plan plant explosive radar cover visible British fleet ultimate plan war new conflict group exclusive coverage secret partner control Chinese government conflict able hostage tech-expert bos complete grenade small device huge explosion boat visible British boat missile launch missile engine room boat boat several villain sea path indoor pool detonation missile water briefly missile front missile able pack water missile water air kiss surface stealth boat romantic moment lifeboat,mogul plan war order exclusive global coverage::mission tycoon former Chinese agent global empire order confrontation former lover wife::egotistical baron power person planet presence country disappearance British battleship member help way mission war fire ego::mogul global Chinese diabolical plan Chinese simple war British British warship dangerous mission clock truth own agent match::rich press baron hostile other previous relationship wife way international organization intent help Chinese agent missile::unstoppable action hero tremendous disaster tomorrow world other British Chinese world brink true criminal mastermind do-or-die mission powerful mogul world global empire help wife join lethal Chinese agent series brutal race next news story global pandemonium,165868
120363,Toy Story ,movie,movie event arm next day sale panic real danger little squeaky toy penguin squeaker dog house owner mom collector grasp sale mom room friend vehicle feather license plate room license plate key apartment other horse cowgirl doll in-the-box doll idea apartment star popular show place television room commercial advertising location post-it note rescue party old television show apartment episode cliffhanger public attention space mood entire collection merchandise museum everything entire collection storage situation group photo process right arm arm toy repairman loss arm main room asleep TV arm pocket room fight morning other journey aisle multiple display new anti-gravity belt belt display film other real space ranger real box friend real packaging prison toy arm paint bottom boot new store information ecstatic whole much ire great owner owner voice audio memorable cinema-tearjerker montage box owner same thing group safe last other gang home trip group sure real tail satchel few store display toy arch-enemy toy bag car building ventilation system apartment building elevator apartment real near-reverse film television show character merchandise collectible child friend stay time damage life worth kid choice chance glass life episode TV boot paint name second ventilation grate mind afraid box ventilation shaft anger entire life package grate time gang ventilation shaft elevator toy duplicate evil ruler father day elevator group way lobby unable car delivery truck duplicate father son game catch group baggage area numerous group able angry pick-axe new arm dismemberment suitcase plan group arrive landfill little gang little girl backpack backpack girl makeover airport baggage room gang unable suitcase airplane chase way airplane joy baggage plane way plane right arm manage wheel-well pull-string hop plane next day bed new arm own special way name bottom extra squeaker bottom toy box song performance happy friend uncertain future arm friend old pal company infinity other toy song friend voice,toy collector idea immortality museum::summer camp greedy collector proprietor all-out rescue mission action museum piece way::home toy dealer rest gang valuable collectible once-popular television show horse cowgirl faithful sidekick::summer camp yard sale greedy toy collector yard new cowgirl prospector horse whilst rest real world house::fun adventure summer camp own shift high gear obsessive toy collector collectable gang room action pal museum piece plenty excitement fun predicament race home::sale broken toy penguin selling box rescue attempt box greedy toy collector all-out rescue mission gang try toy collector,456443
120366,Traveller,movie,rural south coterie world own town town family business everyone path world father cast outsider head clan young man way road step law way hard bartender single mother plan hard-earned money instinct quick cash unexpected obstacle heart,young man gypsy-like rural cousin apprentice game different life::family southern business young man life clan,1651
120376,Trojan War,movie,High school student crush classmate night sex safe sex condom use title obvious pun condom brand quest trouble dad run-in crazy bus driver hostage school janitor odd pair hispanic dog jealous boyfriend homeless man wallet perfect girl friend long time unbeknownst own great night stand relationship end sight car tow truck,girl problem condom night many way love::girl night true problem condom search worth trouble everything imaginable condom friend behavior someone,5245
120382,The Truman Show,movie,insurance salesman idyllic peaceful life star popular show television history problem fact entire island complete fabrication massive set protective dome sophisticated imagery sky weather temperature real world coast dome massive staff eccentric birth project way person life innocence life ready work street traditional greeting morning case good afternoon good evening good night mysterious object sky car sky clear explanation object studio light radio aircraft island source object work paper magazine call directory information deal pier due fear open water home time wife work chipper smile face long time friend real name wish job travel childhood wish teacher nothing world ignorance beach water trip father child sea bit father strong storm swept memory shock rest sky home idea financial important adventure baby good adventure morning homeless man street man man number strange homeless man day phone idea wishful night basement home old trunk personal red sweater white pin college band eye attractive young woman courtyard next month inseparable library young woman courtyard name small piece paper word library room second manage nearby exit beach able share moment privacy vehicle frantic real name truth delusional puzzlement aftermath red sweater memory magazine work collage woman face next day radio car movement crew paranoid open air way elevator empty car entrance studio break room security grab building nearby market service vehicle funny friend home mother old album TV old film clear attempt notion home photo picture day travel agency next day book flight agent available month bus bus station home work car driveway something car silent appearance person street schedule lady red bike man vintage behavior theory test street home rotary traffic jam disappointment car rotary multiple road bridge island bridge fear water foot gas home sign line road car power plant hazmat car apologize inconvenience course know car break manage island home new drink item commercial upset recent behavior frantic something wrong everything peeler distance lock shock door case beer professional edge road everyone massive scheme conspiracy last thing reality real reason dark figure mist able homeless man man embrace cinematography master shot happiness father moment weekly TV show screen right-hand corner television many show sea fear water wish island decision youthful own captivity emotional turmoil security light few fan present child order air-time caller voice charade mockery life real world prison chance normal life free violence pain truth day normal new coworker replacement prospective female partner basement makeshift several inactivity suspicious video feed phone ring house move entire time basement noise recorder hole basement floor loss unthinkable transmission cease transmission world state shock entire staff island search move set sun aid search search land impossible idea search sea intuition correct ocean lone sailboat helm live video none man boat weather program storm defiance wind turbulence plug victorious boat strong impact bow ship sky end dome boat wall short short staircase exit door intercom system first time creator day life entertainment world world pain plant idea afraid deep thought something entire world case good afternoon good evening good night door living room floor apartment rest world finale resolute head piece transmission,insurance salesman whole life reality TV show::movie man life fake place fact big studio hidden popular world ordinary man ordinary life idea day everything::happy life life focus reality TV show birth star hometown giant piece everyone actor script::normal man normal town desk clerk insurance company ordinary life ordinary wife ordinary neighbour ordinary bud time time sixpack happy life world happy-happy tidy nice little island town seaside reality unwanted pregnancy reckless show earth life live everyone poor actor little headphone ear day area backstage suspicious plan::happy life successful business man nice wife many life repetitive moment life world small film discovery matter much::star show man life nonstop TV show quaint giant studio visionary producer director creator wife contract player wise discovery,816254
120394,Twin Town,movie,sentence watch model boat crazy film yer own f glue film life poodle bit film life cry film life film hilarious film life,wide sweeping seaside place action half serene old semi-detached housing young neighbourhood tone deep trouble dysfunctional family dole money odd-jobs father drug abuse car theft happy-go-lucky life no-hoper city due course plot revenge wealthy club owner helpful compensation accident imaginative strike culminating::Julian time father leg local bigwig compensation vicious humour un-insured ferocious feud::small town high relief massage skag heroin top family skeezy club own rod s drug pin wife victim story spectrum daughter self singer snobbish self king,5233
